id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1353622,Appartement,332500.0,16.0,RUE LUCIEN SAMPAIX,75010.0,26.0,1.0,2.360901,48.87189
2022-1353631,Appartement,260000.0,1.0,VLA ALBERT ROBIDA,75019.0,28.0,2.0,2.390756,48.878909
2022-1353644,Appartement,415000.0,5.0,PAS DELESSERT,75010.0,40.0,2.0,2.365172,48.878782
2022-1353650,Appartement,370000.0,59.0,RUE AU MAIRE,75003.0,24.0,1.0,2.354484,48.864766
2022-1353655,Appartement,235000.0,69.0,RUE GRENETA,75002.0,18.0,1.0,2.347421,48.865526
2022-1353656,Appartement,148000.0,19.0,RUE LUCIEN SAMPAIX,75010.0,13.0,1.0,2.360303,48.872398
2022-1353659,Appartement,615000.0,76.0,AV DES CHAMPS ELYSEES,75008.0,37.0,1.0,2.304678,48.871669
2022-1353660,Appartement,335000.0,137.0,RUE PELLEPORT,75020.0,38.0,1.0,2.397383,48.872912
2022-1353662,Appartement,186000.0,13.0,RUE LEON GIRAUD,75019.0,18.0,1.0,2.382425,48.887899
2022-1353663,Appartement,300000.0,4.0,RUE HENRI DUBOUILLON,75020.0,39.0,2.0,2.404403,48.872755
2022-1353664,Appartement,255000.0,9.0,RUE COURAT,75020.0,24.0,1.0,2.405273,48.85709
2022-1353667,Appartement,261500.0,4.0,SQ PETRELLE,75009.0,30.0,2.0,2.34924,48.880788
2022-1353670,Appartement,162000.0,68.0,RUE DE L AQUEDUC,75010.0,13.0,1.0,2.366231,48.883212
2022-1353674,Appartement,350000.0,14.0,RUE CHARLES NODIER,75018.0,25.0,1.0,2.34522,48.885692
2022-1353676,Appartement,289350.0,14.0,RUE DE GRANGE BATELIERE,75009.0,20.0,1.0,2.341507,48.873384
2022-1353678,Appartement,109000.0,1.0,RUE BORDA,75003.0,12.0,1.0,2.357437,48.866001
2022-1353685,Appartement,823800.0,22.0,RUE DE L ECHIQUIER,75010.0,75.0,3.0,2.351178,48.871546
2022-1353691,Appartement,500000.0,24.0,RUE D AUMALE,75009.0,46.0,2.0,2.335233,48.878792
2022-1353695,Appartement,417500.0,48.0,RUE DE TURENNE,75003.0,32.0,1.0,2.364704,48.857997
2022-1353704,Appartement,380000.0,53.0,RUE C DE LA ROCHEFOUCAULD,75009.0,35.0,2.0,2.335309,48.88044
2022-1353713,Appartement,315000.0,38.0,RUE VIVIENNE,75002.0,26.0,1.0,2.341752,48.870724
2022-1353716,Appartement,200000.0,38.0,RUE DE LIEGE,75008.0,15.0,1.0,2.324251,48.87945
2022-1353733,Appartement,420000.0,76.0,RUE BOTZARIS,75019.0,54.0,3.0,2.388634,48.879359
2022-1353736,Appartement,138600.0,36.0,RUE DU FBG SAINT DENIS,75010.0,12.0,1.0,2.353665,48.871148
2022-1353737,Appartement,234000.0,9.0,RUE JEAN JACQUES ROUSSEAU,75001.0,17.0,1.0,2.340107,48.862401
2022-1353741,Appartement,323500.0,67.0,RUE MYRHA,75018.0,40.0,2.0,2.350373,48.88652
2022-1353748,Appartement,290000.0,66.0,RUE DE ROCHECHOUART,75009.0,25.0,1.0,2.346927,48.881252
2022-1353749,Appartement,233200.0,31.0,RUE DES ENVIERGES,75020.0,21.0,2.0,2.388059,48.872602
2022-1353755,Appartement,150000.0,13.0,RUE MARIE ET LOUISE,75010.0,13.0,1.0,2.366326,48.871741
2022-1353756,Appartement,547000.0,12.0,RUE JEAN JACQUES ROUSSEAU,75001.0,38.0,2.0,2.340444,48.862346
2022-1353763,Appartement,170000.0,11.0,RUE JOUBERT,75009.0,14.0,1.0,2.331591,48.874437
2022-1353770,Appartement,240000.0,13.0,RUE MARX DORMOY,75018.0,28.0,1.0,2.358636,48.885493
2022-1353773,Appartement,243000.0,66.0,AV SIMON BOLIVAR,75019.0,25.0,1.0,2.376731,48.87668
2022-1353777,Appartement,347000.0,1.0,AV NIEL,75017.0,25.0,2.0,2.294031,48.879141
2022-1353780,Appartement,250000.0,23.0,RUE BOURSAULT,75017.0,20.0,1.0,2.319859,48.883767
2022-1353796,Appartement,458450.0,339.0,RUE DE BELLEVILLE,75019.0,40.0,2.0,2.405019,48.877274
2022-1353797,Appartement,273950.0,10.0,RUE SAUFFROY,75017.0,30.0,2.0,2.320812,48.890885
2022-1353799,Appartement,700000.0,79.0,RUE DU FBG DU TEMPLE,75010.0,60.0,3.0,2.371548,48.870399
2022-1353800,Appartement,245000.0,4.0,RUE SAINT-ROCH,75001.0,26.0,2.0,2.331755,48.864194
2022-1353801,Appartement,196000.0,20.0,RUE CADET,75009.0,9.0,1.0,2.343614,48.875157
2022-1353802,Appartement,145700.0,1.0,RUE ALEXANDRE PARODI,75010.0,11.0,1.0,2.366295,48.87918
2022-1353803,Appartement,282000.0,12.0,RUE DE TANGER,75019.0,35.0,2.0,2.367671,48.884868
2022-1353809,Appartement,285000.0,8.0,RUE BURQ,75018.0,30.0,2.0,2.336404,48.885933
2022-1353810,Appartement,235306.0,54.0,RUE DES ACACIAS,75017.0,27.0,2.0,2.293697,48.877666
2022-1353812,Appartement,488350.0,57.0,RUE DULONG,75017.0,34.0,1.0,2.315351,48.885734
